rows,50
columns,3
x1,x2,F9
-3,-2,109.0
5,2,inf
1,4,-8.0
-1,-3,3.8
1,-3,1.8
-4,-3,321.8
-5,5,741.6666666666666
-3,-2,109.0
-3,0,108.0
2,-5,11.571428571428571
4,-2,193.0
-3,-3,109.8
4,-2,193.0
-5,5,741.6666666666666
1,-2,1.0
-4,-3,321.8
0,1,1.0
-2,0,24.0
0,4,-8.0
1,-5,3.5714285714285716
4,1,193.0
-4,-5,323.57142857142856
-3,2,inf
-3,-3,109.8
0,-1,0.3333333333333333
-2,4,16.0
-5,2,inf
5,-5,503.57142857142856
3,2,inf
2,-3,9.8
2,-4,10.666666666666666
4,-1,192.33333333333334
-2,-1,24.333333333333332
-1,0,2.0
2,-3,9.8
1,-3,1.8
-3,-4,110.66666666666667
-1,-4,4.666666666666666
5,3,491.0
2,0,8.0
-4,-5,323.57142857142856
-3,-1,108.33333333333333
4,-4,194.66666666666666
1,0,0.0
1,3,-9.0
3,-1,54.333333333333336
-5,3,741.0
5,0,500.0
-4,1,321.0
-4,1,321.0
