rows,1000
columns,11
x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,F12
-4,-3,-1,3,-3,2,-2,2,5,5,33
-2,-4,-2,-3,2,-4,-1,2,2,5,50
3,-2,-4,0,4,-1,3,2,5,-1,31
-3,-4,0,-1,0,-4,3,-3,-2,1,30
5,-5,-4,-3,-3,2,2,-5,-5,-3,-45
3,-4,3,-5,-5,-2,1,-5,1,-4,10
-4,0,-2,-5,3,-1,0,-1,5,-1,5
-3,-2,-3,-5,0,1,1,-3,2,2,9
-2,3,0,-4,-5,-4,-5,-2,-4,0,-26
-4,1,3,-5,-5,-2,4,-4,0,-1,-3
4,-2,-3,3,0,5,1,0,-1,-2,9
-3,5,0,3,5,3,4,4,-5,-2,60
-1,4,-1,-4,3,5,-5,-1,-3,-1,5
0,0,1,4,-2,-3,2,5,0,1,7
4,-3,-2,3,-5,1,-5,3,-3,5,27
4,-5,2,0,1,-1,-3,-4,0,0,-21
-2,0,-2,-3,2,5,-1,-5,-1,-1,24
-5,4,5,-3,-4,0,0,5,1,4,-35
2,-5,-1,5,0,2,-4,0,0,1,-17
-1,0,4,-4,2,3,5,-3,3,-3,-61
4,3,-2,2,3,-5,-4,4,-4,2,77
-5,-4,-5,-4,2,0,-3,-1,-3,4,-5
2,2,5,5,4,1,-2,1,2,3,40
4,1,-1,3,4,0,2,-3,1,-1,9
-5,1,1,4,1,-1,-4,-3,-4,4,-86
-1,3,3,3,-5,1,-1,5,1,2,8
-4,-4,0,-5,-5,-2,-1,0,4,3,42
4,-2,4,1,5,5,5,5,4,5,201
-4,5,-2,2,-4,-3,-5,4,0,-5,-42
3,-5,3,3,1,-1,0,4,-3,-5,8
2,2,2,-5,-4,-2,-1,-1,0,4,-14
4,5,4,-4,-3,-5,-4,0,-5,-4,179
-2,-2,1,-5,-5,-4,1,0,5,0,9
2,4,0,4,-5,3,-3,-1,2,-4,-19
0,-4,5,3,-2,-4,5,-4,-4,0,23
-2,-4,5,5,5,-5,-3,5,5,-1,63
-2,-2,4,2,4,-3,-1,3,-2,-2,20
0,-1,1,-4,-1,1,2,1,-5,5,0
1,2,3,5,1,3,3,-3,1,-5,-22
3,-5,4,-5,1,-4,5,-1,-1,2,-86
4,4,3,1,4,-5,-5,-3,-4,-2,109
2,1,-5,0,-5,5,-1,-5,2,-3,48
1,-3,-2,3,-3,3,0,-3,-3,0,-18
-3,-4,3,5,-4,-3,1,5,0,3,12
0,4,-1,3,-1,4,3,-5,-5,-1,-3
-2,5,2,5,2,2,-4,5,5,-4,28
4,2,-2,5,-3,4,-5,5,5,5,-154
-4,5,-4,-4,0,-3,0,5,0,-5,-64
3,4,3,2,0,5,2,2,3,4,96
-2,1,0,-2,4,0,2,1,0,-1,-2
0,-5,-4,-2,-1,-3,-5,-2,5,-2,-13
4,-2,-4,0,3,-5,4,3,-3,3,-11
-4,4,3,-5,1,-1,4,3,1,5,-63
-3,5,2,-1,-2,-1,-3,-1,-2,-3,-27
5,5,1,1,0,-3,0,1,1,4,14
0,4,2,-4,4,5,-5,-3,-2,-2,-8
-2,1,-3,1,-5,3,5,0,-3,5,-35
2,-2,1,0,0,4,-3,0,-2,3,20
1,0,1,1,-4,-2,2,3,1,-2,15
-1,-4,-4,4,1,-1,-2,-5,-3,0,-19
5,0,-4,1,-4,3,2,-5,1,0,-6
0,1,3,0,-4,3,5,-2,-3,4,24
0,2,-5,5,1,4,0,3,0,-1,-1
-3,-2,-3,-3,-4,2,-4,-1,0,-3,25
-5,5,-4,1,-5,-3,-5,-5,4,-2,62
5,1,4,5,4,-3,-2,5,2,4,-55
-2,4,1,4,-1,1,3,-5,-4,-3,16
-3,-3,2,3,-4,-3,-5,5,-3,1,-24
