rows,500
columns,7
x1,x2,x3,x4,x5,x6,F14
2,-2,-4,2,-5,1,-2.5
-1,-3,1,-1,-4,-2,-24.0
-1,1,-1,0,4,-4,inf
-4,-1,-4,5,-2,-1,-0.625
-5,3,-1,4,0,1,0.0
-1,5,-2,-4,1,0,-0.0
-2,-4,-5,1,-3,1,1.2
-1,3,-2,0,5,-5,inf
5,-5,-5,-3,-1,3,1.7999999999999998
-4,-3,-5,-4,0,5,0.0
3,-5,-5,5,5,-2,-16.666666666666668
3,1,3,4,4,-3,-5.333333333333333
-1,4,5,-1,-2,4,-6.4
-1,3,-4,5,-1,-1,3.75
5,1,-4,1,-5,-3,-0.75
-2,1,1,5,1,-5,12.5
-4,-5,-1,4,-1,1,5.0
2,-3,0,4,-4,5,inf
-3,1,-5,2,4,4,2.1333333333333333
-3,3,-3,3,5,-2,-10.0
-1,3,-5,-2,3,-4,14.400000000000002
4,-5,4,1,4,-1,1.25
-5,0,4,4,0,1,inf
-4,-4,-3,-1,-5,5,-8.333333333333334
-1,-4,-5,5,-4,3,48.0
2,-1,-3,2,4,3,4.0
-3,-2,-5,0,3,-1,inf
-3,-5,-1,-2,-1,-2,6.666666666666667
-3,5,2,2,-4,-3,-20.0
-5,-2,2,0,1,2,inf
3,-3,-5,4,-2,-3,4.8
3,-4,4,3,1,0,-0.0
4,-1,-4,-5,3,-5,4.6875
-4,-2,1,-5,-1,1,2.5
-1,-2,5,0,4,2,inf
3,4,-3,-2,0,-4,0.0
3,-4,2,-2,-3,4,-16.0
2,-1,3,-5,2,1,1.6666666666666667
-2,-4,-1,1,1,0,-0.0
0,-3,-1,5,0,-1,inf
3,5,-2,-5,-3,-3,37.5
4,-2,-4,0,-1,1,inf
1,2,3,-3,-3,5,30.0
0,3,2,-1,0,5,inf
3,-3,1,-2,5,5,50.0
-4,3,5,-3,3,-5,-6.75
-3,3,2,2,-5,-5,-25.0
4,5,0,-5,-3,3,inf
2,3,3,4,-1,3,-6.0
-1,-3,-3,3,-2,-3,-18.0
-5,4,-3,-2,-3,1,1.6
-3,0,-3,0,2,5,inf
2,3,2,-1,0,2,-0.0
3,-4,-4,-1,-3,3,3.0
-2,5,5,-5,0,-3,0.0
4,3,-2,-3,1,2,2.25
2,2,-2,-4,2,4,16.0
-4,2,3,0,-5,-1,inf
-1,5,-4,2,-5,5,-62.5
-3,-5,0,3,5,4,inf
5,0,5,-1,1,-5,inf
4,-4,4,5,-2,0,-0.0
-2,-2,-3,1,-1,-5,-1.6666666666666667
3,2,-3,-3,5,-2,-6.666666666666667
-5,5,-5,-2,-5,4,8.0
5,2,-1,-4,-5,0,0.0
2,-4,-5,4,2,2,6.4
0,0,5,1,2,1,inf
0,-4,2,-4,5,-1,inf
-5,1,0,2,4,5,inf
-4,1,5,0,5,-3,inf
-2,0,5,4,4,4,inf
-3,-2,2,-1,0,-4,-0.0
-3,-2,-5,-3,2,-2,-1.6
-4,-5,-1,0,2,-5,inf
1,-1,-3,4,-5,-1,6.666666666666667
-4,-3,0,-1,3,3,inf
-2,-5,4,3,2,1,3.75
-4,2,0,1,1,0,inf
5,-5,-2,-4,-2,-2,-8.0
-1,3,-2,-2,2,-3,18.0
4,-5,-5,4,-4,-1,4.0
3,1,-5,5,-4,-5,-6.666666666666667
-3,-1,5,1,0,-3,0.0
5,-1,0,5,5,-5,inf
-5,-4,2,1,0,3,0.0
-5,-1,0,0,-3,0,inf
5,-5,-1,4,3,5,60.0
4,-4,5,3,5,-4,12.0
2,-2,3,-5,3,4,20.0
2,-4,2,-5,-4,3,-60.0
0,-5,-1,1,-1,4,inf
2,-3,5,-3,-5,0,0.0
2,-4,-1,0,-4,0,inf
-4,-5,-4,-2,0,-2,0.0
1,0,-5,-1,0,-3,inf
-2,4,5,1,-1,-3,-1.2
-5,2,3,-5,2,2,2.6666666666666665
-1,3,-4,-4,1,-4,12.0
5,-3,-3,3,5,-1,-3.0
1,2,-2,-3,0,-4,0.0
1,2,3,4,3,-1,-8.0
5,4,-4,-5,5,5,25.0
3,3,-4,-5,-4,5,-25.0
3,1,-3,-5,0,-5,0.0
3,0,5,1,-4,-3,inf
2,3,-3,-3,0,5,0.0
3,-3,-3,5,3,-4,-20.0
-4,3,-1,1,4,-2,-6.0
0,-1,-5,2,-5,2,inf
5,-4,0,-4,1,5,inf
0,-1,-2,0,1,-4,inf
-4,-3,4,5,1,3,2.8125
3,2,-4,-5,0,0,0.0
3,4,4,0,-5,1,inf
-5,3,5,-3,5,0,0.0
-2,-2,5,0,3,5,inf
-1,4,-4,3,3,-3,-27.0
-3,-2,2,-3,-2,-5,-10.0
3,3,2,-2,-5,-5,-25.0
1,-4,-5,0,1,3,inf
-5,-1,5,-3,0,0,-0.0
1,-2,-5,2,-5,0,0.0
0,-2,1,-4,0,0,inf
-5,-5,-3,-5,-2,-3,10.0
0,-4,5,-2,-1,1,inf
-4,5,-3,-4,4,0,-0.0
-4,-5,-4,-2,0,3,0.0
4,-3,-4,2,-4,1,-1.5
1,0,-3,-1,-5,1,inf
-1,4,-2,-5,-1,2,20.0
-5,-4,1,-2,4,3,-19.2
4,4,0,1,-4,0,inf
-4,4,0,-4,5,-3,inf
-1,5,-2,5,5,-4,-249.99999999999994
-3,4,3,4,3,1,-5.333333333333333
3,-3,-3,2,5,-3,-10.0
0,3,3,3,2,3,inf
-2,5,3,4,2,5,-33.33333333333333
0,-3,-1,-1,2,-5,inf
3,-5,-2,3,4,-2,-20.0
5,-3,-5,-2,2,0,-0.0
1,-2,0,3,-5,1,inf
5,-1,2,4,3,4,-4.8
0,-4,5,3,1,-1,inf
-3,5,-5,0,-4,5,inf
4,3,0,-5,-5,4,inf
3,-2,3,2,2,1,-0.8888888888888888
-4,1,1,0,-5,5,inf
2,1,0,-1,3,-5,inf
1,0,-5,3,-3,1,inf
2,4,2,4,0,-2,0.0
2,1,1,-3,3,5,-22.5
5,3,0,-5,-5,5,inf
-3,0,4,-4,5,-1,inf
-4,-3,1,-3,-5,-1,-11.25
-2,-2,0,-3,1,-3,inf
4,-5,0,5,5,-3,inf
-3,-1,-1,4,2,4,-10.666666666666666
-4,4,-3,4,0,-4,0.0
-1,-1,2,3,-5,-1,7.5
2,4,-2,-2,0,-1,0.0
2,-2,-3,0,3,4,inf
1,3,-4,-5,4,-5,-75.0
2,-1,4,4,0,3,-0.0
5,-4,5,-4,-4,-2,5.12
0,-4,5,2,0,-3,inf
1,-5,-5,2,5,5,50.0
-2,4,-1,0,-3,3,inf
-1,-5,3,-4,2,1,-13.333333333333332
-5,-3,5,-2,3,1,-0.72
-4,5,5,1,-4,5,5.0
-3,-2,5,5,4,-5,-13.333333333333334
1,1,2,-1,-1,-1,-0.5
2,3,-2,-5,3,3,33.75
-1,-4,-5,-3,-3,-2,14.399999999999999
4,0,-1,5,4,4,inf
-1,-3,-5,1,-5,-2,-6.000000000000001
-2,-2,3,3,-1,-4,4.0
-4,4,3,-5,0,-1,0.0
-5,-5,5,-1,-1,-4,-0.8
1,3,-2,-1,-3,-1,4.5
-4,5,5,2,2,-4,4.0
-3,-1,-5,-3,-3,-1,0.6
3,0,3,1,2,1,inf
-4,5,-5,-2,4,-2,4.0
3,3,2,-5,3,3,-22.5
-3,-5,3,0,5,0,inf
5,1,2,-3,5,4,-6.000000000000001
4,-4,5,2,-3,-2,-2.4
5,2,-5,-1,1,-3,-0.24
1,0,-5,-4,5,1,inf
3,3,-3,0,5,-5,inf
4,-2,-5,-5,1,-4,2.0
2,-2,2,-2,3,5,15.0
-2,5,-3,-2,3,5,-24.999999999999996
3,-2,-4,2,-1,2,-0.6666666666666666
0,-4,3,4,-5,-2,inf
-5,1,-1,5,-1,-3,3.0
5,-1,2,-2,4,2,1.6
3,-2,2,-3,2,5,10.0
-2,-5,4,-1,-4,2,5.0
-2,-4,5,-4,-4,0,-0.0
3,-3,5,4,-1,1,0.8
-4,4,4,2,-4,-5,-10.0
4,-3,-4,5,0,0,0.0
-4,3,-3,4,5,0,0.0
3,5,3,1,-2,2,-2.2222222222222223
1,1,3,-4,3,1,-4.0
-4,-5,-1,-2,-5,-2,25.0
5,-2,-4,1,4,1,0.4
2,5,4,-4,3,-1,7.5
-5,-5,1,1,2,4,8.0
-5,2,-5,-1,1,3,-0.24
-4,-1,2,-3,2,-4,3.0
5,3,-5,4,1,1,-0.48
3,0,0,2,3,3,inf
3,-2,0,4,-3,3,inf
0,-4,0,-1,-2,-5,inf
-1,4,2,3,1,2,-12.0
-5,-4,1,-4,-1,5,16.0
-3,2,0,4,-4,4,inf
-1,-2,-3,1,0,-4,-0.0
3,-1,1,1,-2,1,0.6666666666666666
4,3,-5,2,1,-3,0.9000000000000001
4,0,-2,3,-4,4,inf
0,5,2,0,-1,4,inf
5,2,3,3,5,-4,-8.0
2,-5,-1,0,3,5,inf
1,-4,-2,2,3,-1,-12.0
0,3,-5,-3,-3,5,inf
4,0,1,0,2,4,inf
-4,-4,2,4,2,-1,-4.0
-2,-4,3,0,-5,2,inf
3,-3,5,-3,-3,-4,7.199999999999999
-4,0,-3,-1,0,5,inf
2,-3,-2,-3,2,-1,4.5
-4,3,5,-3,-3,-3,4.05
2,3,3,-1,-3,5,7.5
-5,-1,-5,-5,1,-1,-0.2
0,-2,0,2,3,-5,inf
2,4,2,0,1,0,inf
1,-1,-5,-1,4,4,-3.2
0,2,-4,-3,4,1,inf
-2,-4,3,1,4,3,8.0
3,1,-3,4,0,-3,-0.0
1,1,0,-4,2,1,inf
0,3,4,-5,4,4,inf
-2,0,-4,0,0,4,inf
5,3,-2,1,2,1,-0.6
-1,3,-2,4,-4,0,0.0
