rows,50000
columns,7
x1,x2,x3,x4,x5,x6,F14
2,-2,-4,-1,2,-2,1.0
2,-1,-1,-4,3,4,-24.0
-5,-3,-3,1,0,5,-0.0
-4,1,0,5,-3,-4,inf
4,4,0,-5,2,-1,inf
0,-5,-5,2,5,-5,inf
1,0,5,-5,1,-3,inf
3,1,5,-3,-3,-4,-2.4
5,-4,-4,-5,-1,-4,-4.0
4,0,5,1,-4,-2,inf
-5,2,-1,1,-2,-3,2.4
5,-1,5,0,-4,-4,inf
-4,-3,-3,2,0,-2,-0.0
-4,-5,0,4,5,5,inf
5,-4,-5,-4,-3,-2,-3.84
-3,-3,4,4,-5,-3,15.0
5,-1,3,0,-2,-1,inf
-1,2,5,5,5,-5,50.0
0,-2,2,-5,-4,2,inf
3,-4,3,1,0,1,-0.0
3,2,-2,1,-5,-1,-1.6666666666666667
-3,-2,2,-3,-2,-1,-2.0
3,-4,-1,-3,-2,0,-0.0
-1,4,2,-2,-4,3,-48.0
1,-1,-4,-2,4,3,-6.0
5,-5,4,5,4,1,-5.0
-3,2,2,2,1,-3,2.0
4,1,0,0,4,2,inf
3,1,2,-3,-3,-2,-3.0
-5,1,3,1,-5,0,-0.0
-1,3,-5,-1,0,3,-0.0
1,-5,5,3,3,-1,8.999999999999998
3,-2,5,2,3,-1,0.8
3,-1,-2,5,-4,5,-16.666666666666664
-4,-4,1,-5,-5,-1,-25.0
3,3,-4,2,-2,5,5.0
-4,-1,2,5,0,-2,0.0
-3,-4,-2,-1,2,3,4.0
5,5,-2,5,-1,-5,-12.5
-5,-4,-5,0,-2,-4,inf
1,3,-1,1,4,3,-36.0
2,5,2,4,5,-2,-50.0
-3,2,3,1,4,-4,3.5555555555555554
3,-1,-4,4,-5,-4,6.666666666666667
0,5,0,-2,0,-4,inf
-2,1,-2,5,-2,-3,7.5
5,3,-3,-5,-3,0,0.0
2,-3,4,0,-5,-4,inf
5,-5,5,3,5,-5,15.0
2,4,0,3,2,-5,inf
-1,4,-5,-3,3,0,-0.0
-2,0,-2,-4,0,3,inf
-5,2,2,-1,5,2,2.0
3,-5,3,-1,-5,-5,13.888888888888891
-1,0,4,2,3,-5,inf
-2,4,-3,-5,5,-3,50.0
-3,4,4,5,1,-4,6.666666666666666
-5,4,3,3,-3,-3,-7.2
2,1,1,5,3,5,37.5
-4,-1,0,2,-1,-2,inf
4,-1,-5,4,-2,-2,0.8
-4,-4,2,-1,-3,5,7.5
1,2,2,-3,-3,-1,-9.0
3,-1,-2,-3,2,-2,2.0
0,-2,-4,-4,-1,-4,inf
-3,2,1,4,-2,0,-0.0
5,-5,-4,-1,4,-3,3.0
5,1,2,-4,3,-5,6.0
-3,-5,0,4,4,4,inf
3,1,-5,-5,1,3,1.0
-5,3,1,2,4,0,-0.0
0,-4,4,5,-4,1,inf
0,-5,-4,1,-3,4,inf
-1,-1,0,4,-4,2,inf
2,1,-2,-5,2,-3,-7.5
-3,-2,-3,5,0,2,-0.0
4,-3,0,-5,4,-3,inf
-5,-5,2,0,0,4,inf
3,3,0,-4,-2,-1,inf
4,-2,-5,-5,3,-2,3.0
-4,-4,3,0,2,0,inf
-1,-4,-2,4,-4,-5,-160.0
-5,4,-1,-3,2,-5,24.000000000000004
1,5,-4,-2,4,-2,-20.0
0,5,0,-2,-3,4,inf
1,5,-5,-2,-5,5,-50.0
0,1,-5,-2,-5,3,inf
-1,-2,-4,2,-3,1,3.0
2,-1,5,-4,4,-4,-6.4
2,-4,4,1,-2,-5,-5.0
2,-4,2,-2,-1,5,-10.0
-3,2,3,-4,-5,3,-13.333333333333334
-3,-4,-5,4,0,-2,-0.0
-5,4,3,4,-4,4,17.066666666666666
-2,1,-4,3,3,5,5.625
3,1,3,4,-1,1,-0.4444444444444444
2,-1,-1,-2,1,-4,4.0
-3,1,-2,1,5,-2,-1.6666666666666667
5,-2,4,-3,2,1,0.6000000000000001
0,-1,-1,-2,0,0,inf
2,1,-1,3,0,5,-0.0
-3,0,4,-2,-3,-1,inf
1,-4,-3,0,1,-2,inf
-4,4,-3,-4,-3,3,12.0
-3,-2,-3,-4,-2,1,-1.7777777777777777
3,3,4,3,2,-1,-1.5
1,5,-2,0,-4,5,inf
3,-4,-5,3,-1,-2,1.6
3,-3,4,-4,-5,-2,10.0
0,1,-5,2,3,-3,inf
-2,2,-4,4,-1,0,0.0
-3,-1,-1,-1,4,2,2.6666666666666665
2,-5,-5,0,-5,1,inf
-1,1,-1,4,2,1,8.0
2,5,1,-4,-1,5,50.0
3,3,1,1,-3,2,-6.0
3,-5,-4,-5,4,3,-25.0
-3,-2,2,3,-3,3,-9.0
-3,-4,4,5,4,5,33.33333333333333
1,4,-4,-4,-4,5,-80.0
-4,3,5,-5,-5,-3,11.25
-2,-3,-2,-2,-5,-3,22.5
-1,-2,5,2,3,-2,-4.8
5,-5,1,-3,-5,4,-60.0
-5,-1,5,4,-5,-4,3.2
-2,4,0,-2,-1,-5,inf
-2,2,-4,1,3,0,0.0
-1,-4,-1,1,3,-2,24.0
3,4,1,1,-5,-5,33.333333333333336
5,4,-4,4,2,2,-3.2
5,-5,2,4,0,-3,-0.0
2,2,5,-5,0,1,-0.0
2,-2,-1,1,1,-4,-4.0
2,-2,-5,0,-4,-4,inf
-3,3,-4,3,3,-1,-2.25
-1,0,-5,5,-1,2,inf
-2,-4,1,1,4,0,0.0
-2,-1,1,2,4,0,0.0
0,2,5,-3,4,-1,inf
-2,-5,2,-4,0,-3,-0.0
3,-4,-1,3,-3,-4,48.0
