rows,50
columns,6
x1,x2,x3,x4,x5,F15
-4,5,-1,-4,-1,-0.4485657370517928
-3,-1,-2,1,-2,3.702857142857143
5,2,3,-1,2,10.721842105263159
-5,-1,3,4,-4,1.2055078125
4,4,2,-4,-1,-1.1262549800796813
-4,-3,-1,0,1,-13.770000000000001
2,-3,5,5,5,1.2725379310344829
-3,0,-3,-1,-2,9.442894736842106
0,1,3,2,2,7.101964285714287
5,-3,4,2,3,3.1454691075514876
-2,-3,0,-4,4,0.6676171875000001
4,5,-2,-4,2,-2.2275
-3,-4,-1,-2,-4,0.7126442307692308
1,2,-4,-3,-1,-11.457961165048545
2,-4,-5,-5,-1,-2.4790909090909095
3,-3,4,-3,0,-8.64
-2,-2,4,-2,3,3.6764879356568367
1,2,-3,4,4,1.3004296875
2,3,0,1,3,1.166479217603912
-4,0,3,1,3,2.414156479217604
2,-4,2,1,-5,0.8410642377756472
-5,-3,-4,-2,-2,22.072499999999998
4,5,2,-3,-5,0.9871958899569109
-5,3,-4,-5,-4,2.4923076923076923
-3,0,-4,-3,5,1.196609214451442
-2,-2,-2,-5,1,0.4172727272727273
-1,-5,2,-3,-2,-0.9257142857142857
-4,-4,0,3,-2,-0.22404255319148936
1,0,-5,-5,3,-18.374210526315792
-4,-3,3,-5,4,1.4642307692307694
2,-3,-4,-4,2,-4.988863636363636
2,-4,-5,-2,-5,1.3363821532492728
2,-5,-4,0,-3,3.09
2,-2,-3,-2,-4,1.2578365384615384
2,4,2,2,2,5.149285714285714
-1,-4,2,0,-3,1.05
-2,-2,1,5,3,0.7831491712707183
-5,3,-4,5,4,1.547191011235955
1,1,5,-4,-3,13.367718120805371
2,3,1,-4,3,2.277785234899329
-5,3,1,-5,-1,0.3681818181818182
-3,5,-1,-2,5,0.9121338506304559
2,-4,3,3,5,0.9528085369625735
4,0,-4,-4,1,-3.837011952191235
-4,-2,1,-2,5,0.8021435499515035
5,-4,-1,-2,-3,0.48426273458445046
-2,0,5,1,-2,22.50642857142857
3,1,5,1,1,208.71
-3,-4,-3,-3,0,-3.4649999999999994
-2,-1,0,5,-2,0.7262068965517242
