rows,50000
columns,6
x1,x2,x3,x4,x5,F16
-3,-3,3,-2,0,32.19571250685766
-2,0,1,0,3,inf
1,-1,-3,-3,-1,35.0
-4,0,-5,5,1,inf
-1,0,-1,-2,5,inf
-4,-4,-3,0,4,inf
-1,-3,4,4,0,64.77682554202747
-1,0,3,3,-4,inf
5,4,1,2,1,25.756824340361042
-5,1,-3,-2,0,31.5751857038663
4,-4,1,0,1,inf
-4,-4,5,-3,-4,103.14549956820227
2,-2,-3,2,-5,31.80428749314234
1,4,-5,-1,2,40.759162725148244
-5,1,1,-3,5,-39.14549956820227
-3,2,-4,-3,4,30.410343030600806
1,-3,-2,0,5,inf
5,4,-2,1,-1,44.28908744977764
-5,3,1,-4,-4,-63.699182845471256
4,-2,0,0,-2,inf
2,-2,-5,-3,-2,103.14549956820227
-4,2,5,1,-4,35.45051533697074
-5,4,5,-4,5,6.425689451457885
-2,-4,0,-4,4,32.0
3,-4,-3,1,0,31.966194233979856
2,-3,4,-1,1,-2.1871685726282735
-1,-5,-1,1,2,30.617896040889843
-4,-4,0,-1,2,32.0
2,-2,4,-3,2,56.367226115324236
5,3,5,-1,4,-122.42868627771236
2,5,0,-4,4,32.0
-1,-3,3,1,2,29.0
5,0,1,2,0,inf
-1,2,5,3,1,-18.709624325370356
4,3,4,4,-2,56.367226115324236
1,5,4,-1,3,30.972504532406926
-3,-4,1,-4,0,31.50318212571171
-4,2,5,0,-4,inf
-4,3,-5,4,2,-39.14549956820227
0,5,2,-5,3,32.0
1,1,2,0,1,inf
1,4,0,-2,2,32.0
-1,-5,3,-1,5,32.12650132551775
-3,-3,-2,1,-1,27.791006114832857
-2,3,-3,-3,3,77.9858194271946
3,4,2,1,1,31.481804716066534
5,-3,-1,-2,4,-18.70962432537035
-3,3,5,3,-5,103.14549956820227
2,-4,4,-5,-5,30.060910962480015
-4,-3,2,-4,3,77.9858194271946
5,3,2,-3,-2,1122.5613654003005
0,2,4,1,-3,32.0
-3,-5,4,3,1,33.02749546759307
3,0,-4,-4,-3,inf
-3,5,5,0,5,inf
5,-3,-3,-2,-1,36.641354690711175
-5,5,-4,-5,-5,30.972504532406926
4,4,-5,1,-1,25.48818882930161
1,2,3,-3,5,29.861721768777862
1,1,-4,2,-5,30.410343030600806
3,-2,-5,2,-5,31.697209612755117
-4,5,-3,-2,-4,31.93296876208416
4,-3,5,-1,1,-20.891591738900644
-3,4,-3,0,0,inf
0,5,-1,-5,0,32.0
1,2,2,-3,5,-0.776825542027467
-1,3,-2,5,5,53.18572769775017
-1,-4,-5,2,0,38.24317565963896
3,-2,-3,1,5,32.017913190519934
5,-1,2,-4,-1,19.710912550222364
-3,0,1,2,0,inf
-3,0,2,-5,0,inf
5,3,-2,0,0,inf
-4,-5,-4,4,-1,30.972504532406926
3,3,3,-3,0,35.0
0,-4,0,-5,-5,32.0
0,5,-2,-1,2,32.0
-2,0,1,0,4,inf
2,3,-4,5,3,16.249926321668035
3,0,1,-3,4,inf
0,5,5,-2,-3,32.0
1,-3,-3,3,4,64.77682554202747
-5,-2,4,2,1,34.45938727718089
0,-4,-3,-1,2,32.0
-3,-2,2,-4,5,31.630651434947698
-2,1,0,1,4,32.0
0,-3,-1,5,4,32.0
2,4,2,-3,4,-54.784420121609315
3,-5,-2,-4,-1,31.76126674882778
-1,-4,1,-5,-4,30.140905323638382
-3,5,2,2,-5,32.12650132551775
0,-3,4,3,2,32.0
-2,-3,0,-3,-2,32.0
-1,-2,0,-1,0,32.0
-4,-3,5,1,-5,-20.891591738900644
-3,1,2,4,4,32.518195283933466
-1,-3,-1,2,4,55.361990848361046
1,-3,-2,1,2,-13.985819427194606
-1,-2,-2,3,5,-0.776825542027467
1,5,-1,-4,1,33.85909467636162
3,1,-4,5,4,32.09404469016766
-4,2,-3,-5,-5,31.93296876208416
1,-4,-2,-4,-2,24.384474314925335
-4,1,3,4,4,31.725415751795122
0,2,4,1,2,32.0
-4,-4,-4,-4,0,29.0
0,4,1,-1,-2,32.0
-3,-2,2,4,2,32.369348565052306
0,4,2,-4,-5,32.0
-4,2,-5,-5,4,30.410343030600806
-1,2,4,0,3,inf
-2,-1,1,-4,4,26.338401193937123
4,-1,0,-2,-3,32.0
5,-3,-3,-2,1,36.641354690711175
-3,-1,2,5,1,32.17748110185658
2,3,1,-2,-4,-0.776825542027467
4,-1,-1,-1,0,34.230285487904844
3,3,3,-5,1,32.12650132551775
-2,3,-1,-5,3,10.814272302249837
0,-2,0,2,0,32.0
5,2,3,4,4,32.57142589830431
-3,1,3,-4,2,31.966194233979856
-3,0,-5,0,4,inf
5,1,2,-3,-1,-67.8169908799083
1,5,2,-3,4,10.81427230224984
4,-5,-2,-3,0,16.249926321668035
-2,-4,2,-3,-3,-54.784420121609315
5,0,-4,2,1,inf
5,-3,1,1,-1,103.14549956820227
-4,-3,-5,-5,-4,56.367226115324236
5,3,-4,3,-4,-545.8728250220291
5,1,2,3,2,131.8169908799083
5,5,3,3,-4,29.0
-4,2,-4,4,2,33.58965696939919
4,5,2,0,5,inf
5,3,-4,3,-3,-545.8728250220291
2,0,-4,-1,-2,inf
