rows,50000
columns,11
x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,F20
1,-1,1,4,3,-3,-2,2,4,-1,0.5
-2,-3,-1,5,2,1,4,2,-2,-4,-0.1333333333333333
3,3,5,-1,5,4,-2,1,-4,3,0.8999999999999999
4,4,1,5,0,-3,1,5,0,-2,2.066666666666667
5,5,0,-4,-4,-2,4,-2,-1,2,-1.35
-3,1,0,-3,1,3,2,2,5,1,3.866666666666667
2,-2,0,-1,-5,1,-2,-1,-3,2,-1.5333333333333332
-2,1,5,1,0,0,-3,-1,3,5,0.8999999999999999
1,2,5,-3,-1,2,-5,-2,1,0,1.1666666666666667
-1,4,-2,-2,1,-3,5,-4,1,-2,-0.6333333333333333
0,-2,-4,-2,-5,3,1,-3,-5,3,-0.3166666666666667
-3,-5,1,-2,-1,-1,2,-1,-5,1,-1.7333333333333334
4,-2,0,3,5,3,0,3,-4,5,0.8999999999999999
1,3,4,2,2,-2,-2,-1,2,-1,0.08333333333333304
-4,4,2,-5,-4,-2,1,5,1,-4,1.5
-1,-4,0,-1,-3,4,3,2,-2,4,-1.75
-3,1,2,4,1,0,1,5,-1,3,2.9500000000000006
2,5,5,4,0,3,4,0,1,1,3.7333333333333334
-1,-1,2,0,0,5,5,-2,-5,4,-1.55
1,2,4,-4,4,4,5,4,0,-3,2.1166666666666667
5,0,4,-1,-3,-4,1,-5,5,4,0.1166666666666667
5,1,4,0,0,0,-2,5,5,-4,1.0999999999999999
-5,4,3,-5,-2,-2,-2,-4,-1,-3,-2.9
3,-5,3,-2,2,5,0,-4,1,1,2.4166666666666665
0,-4,5,-1,-2,3,-2,0,-4,0,-1.9666666666666668
5,1,2,0,1,-5,1,-3,4,-1,2.4166666666666665
-3,-3,-1,-4,3,1,-3,2,4,-3,-0.49999999999999983
0,-4,-3,-3,-5,0,-3,-5,4,-3,-1.733333333333333
-4,-4,-1,-1,4,-3,-4,-1,-1,0,-4.833333333333334
4,5,1,2,4,1,-1,2,-3,0,2.3666666666666667
-2,-5,-4,-2,3,2,2,4,2,-1,-0.3666666666666667
0,-5,-1,3,-3,-2,5,2,-3,5,-1.1333333333333333
0,2,-4,4,1,-5,2,4,2,2,3.05
2,3,-3,2,-2,-2,5,2,5,1,1.9
-1,-5,3,0,5,5,-2,-1,5,0,-1.7666666666666668
3,0,0,-2,-4,2,1,-4,-1,-4,-0.41666666666666674
-3,2,3,3,0,5,4,-2,4,4,1.2833333333333332
5,4,-2,0,5,-2,3,4,-5,-5,-0.16666666666666669
-5,-5,3,0,-2,0,2,4,-3,4,0.10000000000000003
4,-3,-3,-2,-5,4,1,1,0,1,2.1333333333333333
0,-4,1,2,4,4,-1,0,0,2,1.25
2,-3,-4,-2,-3,-1,5,3,-3,0,-1.7166666666666666
3,-5,-1,-1,-1,3,5,-4,1,0,-1.583333333333333
-1,4,3,3,0,-2,-5,3,-1,2,-0.9500000000000002
-2,-3,0,-4,1,0,0,-1,1,4,0.16666666666666674
-4,-3,4,-5,0,-1,5,-2,-1,1,-1.833333333333333
3,-4,-3,-1,2,-4,-2,1,-1,2,-1.0
-4,2,-2,5,3,-5,2,-2,-4,0,-0.16666666666666674
-4,3,1,-1,2,2,1,2,4,4,3.083333333333333
0,-1,4,0,-2,4,-2,-1,-3,4,-2.5833333333333335
5,0,-4,-1,1,-4,-2,4,5,-3,-0.6833333333333333
2,4,3,-2,-2,1,0,4,-2,4,1.0833333333333333
-4,-2,-2,-3,4,-3,5,4,2,4,-0.46666666666666656
4,-3,-3,-5,4,-2,4,-1,1,4,-0.3666666666666667
3,4,-3,2,1,5,4,0,1,2,3.7
-5,3,3,1,-3,-5,4,3,-4,0,1.2666666666666666
3,4,-4,-3,0,-4,-3,-4,-4,5,-0.8833333333333335
-3,-3,0,-1,-4,1,-1,5,1,1,0.28333333333333344
-3,-4,-3,-3,0,2,4,2,-5,0,-0.1999999999999998
1,5,-2,4,-1,4,2,2,0,3,1.5333333333333332
5,4,2,1,-4,4,-2,2,-1,-5,0.75
-4,-4,4,-4,-4,-3,-3,0,-4,2,-1.1666666666666665
0,-3,5,3,5,2,-5,-2,3,1,1.5333333333333332
