rows,100
columns,4
x1,x2,x3,F4
-2,-3,-5,-5.0
0,5,-5,-0.72
-3,-5,0,-0.36923076923076925
1,-4,0,-0.0
0,3,-1,-0.6666666666666666
3,-4,-1,1.0714285714285714
3,-3,3,-1.9047619047619047
-5,-3,-2,-4.0
1,4,0,-0.0
-2,2,-1,-3.75
0,-2,-1,-1.5
-4,-5,5,1.7142857142857142
1,-2,4,-0.0
1,1,0,-0.0
-1,2,3,2.727272727272727
-2,0,4,inf
-2,5,2,0.3
-2,-2,5,7.5
-2,-3,4,2.5
3,4,4,-1.6071428571428572
-5,4,4,2.25
2,-4,2,-0.234375
3,3,0,0.9523809523809523
-5,-4,0,-0.75
4,-3,-1,3.3333333333333335
-5,4,3,1.5
0,5,5,0.48
-4,0,-4,inf
-4,3,-2,-3.5714285714285716
-5,1,-2,-36.0
3,-1,-5,51.42857142857143
3,5,-5,2.057142857142857
0,-5,5,0.48
0,0,-5,inf
0,0,-4,inf
-1,-1,-1,-10.909090909090908
-1,2,5,5.454545454545454
1,5,1,-0.0
3,-2,2,-2.142857142857143
-2,-2,-5,-11.25
0,-4,1,-0.0
0,2,-1,-1.5
5,-3,-5,16.0
4,2,2,-3.75
1,2,-1,-0.0
5,-2,0,6.0
1,5,1,-0.0
3,-5,-4,1.7142857142857142
4,-4,1,-0.0
-5,1,3,24.0
-5,4,3,1.5
1,4,-4,-0.0
1,0,-5,inf
2,3,5,-1.6666666666666667
4,-5,1,-0.0
5,-2,3,-12.0
-3,5,-3,-1.476923076923077
-2,-2,-5,-11.25
-3,-4,-3,-2.3076923076923075
-4,-4,1,-0.0
-3,-1,1,-0.0
3,4,-2,1.6071428571428572
-3,-2,-2,-6.923076923076923
3,1,3,-17.142857142857142
0,2,2,0.75
-2,-4,3,0.9375
2,-2,5,-3.75
-3,1,4,27.692307692307693
-5,1,4,36.0
1,-3,0,-0.0
2,0,-3,inf
5,-3,0,2.6666666666666665
0,-2,-3,-3.0
-1,1,-3,-21.818181818181817
5,5,-2,2.88
5,-5,2,-0.96
-4,4,-2,-2.0089285714285716
-3,-4,2,0.5769230769230769
5,1,1,-0.0
2,4,5,-0.9375
5,-2,-4,30.0
5,4,2,-1.5
0,-4,-2,-0.5625
-2,-4,2,0.46875
3,0,-5,inf
-1,5,-3,-0.8727272727272727
1,3,-4,-0.0
-4,-4,-1,-1.3392857142857142
0,2,0,-0.75
1,0,-1,inf
-1,2,-4,-6.818181818181818
1,5,-3,-0.0
0,0,4,inf
-4,-1,4,32.142857142857146
-2,0,-3,inf
1,-2,3,-0.0
1,1,1,-0.0
-1,-4,-3,-1.3636363636363635
3,-5,-1,0.6857142857142857
2,-2,4,-2.8125
