rows,50000
columns,4
x1,x2,x3,F4
-3,5,-2,-1.1076923076923078
1,0,-3,inf
-1,-2,-3,-5.454545454545454
-1,0,1,inf
4,-1,3,-30.0
-2,5,1,-0.0
-2,-2,3,3.75
3,3,-3,3.8095238095238093
-4,1,0,-10.714285714285714
2,-5,1,-0.0
-3,3,4,3.076923076923077
2,1,2,-3.75
4,3,-2,5.0
-5,2,1,-0.0
5,-5,-2,2.88
1,-3,0,-0.0
4,-1,-2,45.0
2,1,-2,11.25
3,3,4,-2.857142857142857
-5,5,-4,-2.4
1,4,0,-0.0
-3,3,4,3.076923076923077
2,3,-2,1.25
0,5,-3,-0.48
1,1,1,-0.0
5,3,1,-0.0
-5,-4,-3,-3.0
-2,-2,5,7.5
-1,-4,-3,-1.3636363636363635
-5,5,1,-0.0
1,0,-2,inf
-2,4,-4,-2.34375
0,-1,1,-0.0
-5,-3,-2,-4.0
2,4,-4,1.171875
1,5,-2,-0.0
-3,-5,1,-0.0
2,-1,4,-11.25
4,-3,3,-3.3333333333333335
3,1,5,-34.285714285714285
4,4,-2,2.8125
0,-3,2,0.3333333333333333
-1,-2,-4,-6.818181818181818
3,-3,5,-3.8095238095238093
5,-3,3,-5.333333333333333
5,-3,-4,13.333333333333334
1,-5,5,-0.0
4,3,-5,10.0
0,-2,5,3.0
0,-2,4,2.25
-5,5,2,0.48
-3,-5,1,-0.0
0,0,2,inf
5,3,-4,13.333333333333334
-4,0,1,inf
2,5,4,-0.45
-1,0,1,inf
-4,0,1,inf
-3,-4,-3,-2.3076923076923075
4,5,-5,3.6
-3,5,-3,-1.476923076923077
2,2,5,-3.75
-2,4,-1,-0.9375
1,-4,-1,-0.0
-1,5,-1,-0.43636363636363634
-2,-5,3,0.6
2,2,2,-0.9375
-2,-5,0,-0.3
-5,-3,-2,-4.0
1,5,-1,-0.0
-2,1,2,7.5
4,-3,-3,6.666666666666667
-1,0,-3,inf
-4,3,1,-0.0
-5,4,-1,-1.5
-3,3,-2,-3.076923076923077
0,-1,-5,-18.0
4,-4,4,-2.8125
0,3,0,-0.3333333333333333
-4,2,1,-0.0
1,-4,5,-0.0
4,-1,-1,30.0
-3,-3,5,4.102564102564102
-1,1,-3,-21.818181818181817
5,5,0,0.96
2,3,1,-0.0
4,-5,-4,3.0
5,-2,-1,12.0
0,-5,-5,-0.72
2,5,-1,0.3
-3,3,1,-0.0
1,0,-1,inf
-2,4,4,1.40625
-4,-4,-2,-2.0089285714285716
-3,4,-5,-3.4615384615384617
