rows,50
columns,3
x1,x2,F8
1,5,1.498402555910543
-2,0,inf
0,4,inf
2,-1,1.4411764705882353
2,5,1.9395790264987784
-4,3,1.983913827465123
4,1,1.4961089494163424
-4,4,1.9922178988326849
3,1,1.4878048780487805
4,5,1.9945115053268854
5,-4,1.9945115053268854
-1,-4,1.4961089494163424
4,-5,1.9945115053268854
5,5,1.996805111821086
2,5,1.9395790264987784
-2,-5,1.9395790264987784
-4,3,1.983913827465123
-2,5,1.9395790264987784
3,4,1.983913827465123
3,2,1.9289813486370158
0,-3,inf
-3,0,inf
2,1,1.4411764705882353
0,-5,inf
-3,-2,1.9289813486370158
4,-5,1.9945115053268854
4,-2,1.9372854200045777
-5,4,1.9945115053268854
-5,4,1.9945115053268854
0,2,inf
-3,-1,1.4878048780487805
4,-4,1.9922178988326849
-3,-4,1.983913827465123
-1,-2,1.4411764705882353
-1,-1,1.0
2,5,1.9395790264987784
-1,0,inf
4,1,1.4961089494163424
1,-4,1.4961089494163424
3,0,inf
4,-5,1.9945115053268854
-5,1,1.498402555910543
-3,4,1.983913827465123
0,5,inf
5,-3,1.9862074339593234
0,2,inf
1,-5,1.498402555910543
0,1,inf
1,-1,1.0
-1,2,1.4411764705882353
