rows,50
columns,6
x1,x2,x3,x4,x5,F13
-5,3,-1,-1,-3,-4.1396296296296295
-4,-3,5,-3,0,inf
2,-3,-3,-4,0,inf
-2,1,-4,5,2,-4.43
-3,-5,-5,-5,-1,-12.270000000000001
2,-1,2,0,-3,inf
3,3,5,-2,-2,-6.0225
1,-5,-3,1,4,-5.7928125
-5,-2,4,5,-5,-5.47272
0,4,-5,-3,0,inf
-1,0,4,5,-2,-6.1450000000000005
-5,-5,-2,-5,-4,-5.4865625
5,-2,-1,3,0,inf
4,1,0,4,-5,-5.4198
-1,-2,5,-3,-5,-5.462266666666666
-4,-2,4,-2,2,-5.41
-4,3,-5,0,-3,inf
5,3,-3,4,0,inf
0,-4,-1,-1,3,-4.502592592592593
-3,-5,-5,1,2,-6.0225
5,-4,-4,-1,5,-5.018
-5,-2,0,4,-4,-5.543984375
3,1,5,-2,1,4.390000000000001
-3,0,-5,-1,-2,-4.1850000000000005
2,0,-4,3,1,-3.7766666666666664
2,-3,1,-1,-2,-9.085
0,1,0,0,-2,inf
-4,-5,1,5,2,-4.92
3,0,-3,3,-2,-5.41
-3,1,-4,4,-3,-5.772962962962963
-4,5,2,5,-1,-19.130000000000003
-2,-5,4,5,-2,-5.655
-2,1,3,0,-4,inf
-3,1,-4,5,1,3.41
5,0,2,-1,4,-4.9506250000000005
5,0,0,2,-3,-5.137777777777778
0,-5,-4,-5,-1,-15.21
3,5,-1,-3,-3,-5.470493827160494
1,5,5,-2,-1,-0.5099999999999998
0,1,-1,-1,1,-5.41
-1,5,3,-4,-4,-5.37171875
-5,-2,2,-2,3,-5.500740740740741
-1,-1,-5,-4,-4,-5.4865625
0,-3,0,-3,4,-5.256875
-2,2,4,0,1,inf
-1,3,-4,-4,-1,-5.41
1,-1,-5,-1,1,9.290000000000001
2,-4,2,5,2,-5.5325
-1,0,0,2,3,-5.137777777777778
-5,5,4,2,5,-5.1748
