rows,50000
columns,7
x1,x2,x3,x4,x5,x6,F14
1,1,3,2,-3,3,-1.5
-2,-4,-4,-3,0,-2,0.0
4,3,4,4,-3,0,0.0
-3,0,-2,3,-1,-5,inf
0,2,3,4,2,2,inf
2,5,0,3,-1,3,inf
-3,5,-1,3,4,5,0.4444444444444444
-5,-1,4,3,2,5,0.16666666666666666
-1,1,4,-3,-4,0,0.0
-1,0,-4,-4,4,4,inf
1,4,-1,5,-5,-3,-0.75
3,-3,1,-2,-1,5,-0.2777777777777778
1,4,3,4,2,-5,-0.20833333333333334
-4,1,-1,-3,3,0,-0.0
-1,0,-4,4,5,3,inf
1,-4,3,-5,-5,-4,0.3333333333333333
-3,4,2,4,5,2,-0.10416666666666667
-5,2,-1,1,-2,-5,1.0
2,2,-3,-5,-5,-4,0.3333333333333333
2,0,5,0,0,3,inf
4,3,-4,0,-1,-5,inf
4,-3,5,-2,4,1,0.03333333333333333
3,4,-3,2,-4,-3,-0.16666666666666666
-5,2,-3,-3,-1,5,0.05555555555555555
2,2,0,-5,3,2,inf
0,1,-4,5,-2,-2,inf
-4,2,-2,-5,-5,3,0.1875
-1,3,5,-5,1,2,0.02666666666666667
5,1,1,-4,-2,-4,-0.4
0,-1,0,5,2,-3,inf
-1,4,2,-4,-2,4,-0.25
0,1,4,-3,0,3,inf
-5,-1,0,-4,2,-2,inf
-1,-4,1,1,-4,3,-3.0
1,-4,-3,-5,4,1,-0.06666666666666667
-4,0,0,4,-3,-5,inf
-4,0,2,1,2,-4,inf
-3,5,4,1,2,1,-0.03333333333333333
-3,4,-1,4,4,0,0.0
3,-1,3,0,-5,-3,inf
2,-5,2,-5,1,2,0.02
2,-4,3,-2,4,2,0.16666666666666666
2,-3,3,-1,4,-1,-0.2222222222222222
-5,4,-2,3,-4,-1,0.03333333333333333
-2,0,2,-5,1,2,inf
2,5,2,-2,-2,-5,-0.25
4,1,-4,4,2,5,-0.15625
4,4,-1,1,3,0,-0.0
1,-5,-3,0,-2,2,inf
1,2,2,-4,-5,-1,-0.3125
3,0,-3,-5,-2,1,inf
3,-4,-3,-3,1,1,-0.009259259259259259
-3,-3,2,-5,-2,-3,-0.06666666666666667
1,-1,3,-1,-4,-1,1.3333333333333333
1,-5,-2,4,-1,4,-0.1
-5,-2,-1,0,-2,2,inf
-3,-4,1,-2,2,-2,0.16666666666666666
-4,1,5,-5,-3,0,0.0
-5,3,-1,5,-3,-3,0.12
3,1,-2,2,2,-2,0.3333333333333333
0,-5,5,3,1,1,inf
-3,5,-1,1,-5,5,-1.6666666666666667
2,-5,5,3,0,-5,-0.0
-1,0,-5,-3,-2,1,inf
-2,1,2,1,3,-2,1.5
-4,4,-3,-4,2,-1,0.010416666666666666
-3,3,-5,-3,2,-5,0.07407407407407407
5,-5,-5,-4,-1,5,0.01
1,0,-2,-1,1,0,inf
3,-4,1,0,2,2,inf
-1,2,-2,2,5,1,0.625
5,0,2,-1,-5,0,inf
-2,1,-4,-5,1,-2,0.05
4,0,-2,2,3,-1,inf
-4,-2,5,-3,-2,-4,-0.06666666666666667
-4,0,-4,-2,-3,-2,inf
4,-2,-5,-1,-1,5,0.125
2,4,5,2,5,5,0.3125
-4,-5,2,5,-3,-1,0.015
-2,0,-5,2,-2,4,inf
4,-4,-3,4,1,-3,-0.015625
-1,-3,-4,-4,0,-5,0.0
-1,1,5,5,-2,4,0.32
-1,-2,-1,3,2,-5,1.6666666666666667
-3,-3,0,4,-4,3,inf
5,1,2,-2,4,4,-0.8
-2,-3,3,0,0,0,inf
-2,2,2,-3,-2,1,-0.08333333333333333
-2,-4,-2,-4,-2,-5,0.15625
3,-1,3,-2,4,1,0.2222222222222222
-3,5,-3,3,4,-5,-0.14814814814814814
-4,1,-5,-2,3,2,-0.15
4,0,3,0,1,2,inf
-2,-5,-4,-5,-1,0,0.0
-5,4,-2,-2,2,4,-0.1
3,-3,2,-2,-1,5,-0.1388888888888889
5,3,3,-2,4,-1,0.044444444444444446
5,3,-2,-3,2,5,0.1111111111111111
1,5,-3,2,4,-5,0.6666666666666666
4,2,0,-5,-5,1,inf
-4,5,0,2,2,2,inf
-2,0,4,4,4,0,inf
-5,1,0,4,2,2,inf
5,4,5,-1,0,-4,-0.0
-3,4,3,1,-3,-2,-0.16666666666666666
2,1,2,-1,-3,-5,-3.75
-1,-4,1,4,-4,0,0.0
2,4,-4,5,0,-5,-0.0
5,3,0,5,4,2,inf
-3,3,-4,3,3,-3,-0.08333333333333333
-5,-5,5,3,-4,2,-0.021333333333333333
3,0,2,0,-1,-1,inf
-5,4,5,-2,0,-4,0.0
-5,5,3,0,5,-5,inf
3,2,5,0,-2,4,inf
0,4,4,5,-1,0,inf
-4,4,-3,4,-4,2,-0.041666666666666664
-2,-3,3,2,-5,3,-0.4166666666666667
0,0,5,-5,5,5,inf
-3,-4,-2,-2,2,-3,-0.125
0,4,2,1,4,-3,inf
0,2,1,4,-5,3,inf
0,-5,4,4,-3,-4,inf
-1,4,-1,-3,-5,3,1.25
-1,5,-1,-3,3,5,-1.0
0,-3,-1,2,-4,-5,inf
5,4,-3,1,3,1,-0.05
-3,-4,-3,0,0,-1,inf
4,5,2,3,1,4,0.03333333333333333
3,3,5,-2,5,-2,0.1111111111111111
3,2,5,5,-4,-4,0.10666666666666667
-5,-5,-1,1,5,-5,1.0
0,-5,2,4,-2,-2,inf
-4,-2,4,4,3,5,0.1171875
2,4,0,-3,-1,4,inf
-1,-1,-5,2,3,3,-0.9
-3,1,3,2,1,5,-0.2777777777777778
-4,-4,-3,1,-4,1,0.08333333333333333
-1,-3,-1,1,-5,-5,-8.333333333333334
-4,-3,0,4,4,5,inf
4,1,2,-5,-3,3,0.225
-3,-4,-4,-5,3,-1,-0.0125
-5,-2,-1,-2,0,4,0.0
2,-4,-1,-3,-1,-2,-0.08333333333333333
-3,-1,-4,1,5,1,-0.4166666666666667
-3,-1,2,1,2,-1,-0.3333333333333333
-1,-3,-4,2,2,3,-0.25
-1,1,5,0,-1,1,inf
-5,-5,-3,0,0,-1,inf
-4,-5,-4,3,0,4,-0.0
5,1,1,4,-5,-5,1.25
4,1,-2,0,-3,1,inf
2,-1,-2,0,1,5,inf
-4,-4,1,5,5,1,0.0625
3,-1,4,2,-1,4,0.16666666666666666
4,5,0,1,-4,-5,inf
-3,1,4,-2,-4,5,-0.8333333333333334
0,-1,1,-3,-1,5,inf
3,1,0,-4,-1,-2,inf
-4,2,2,5,3,4,-0.15
2,3,-5,-1,3,-5,-0.5
2,4,-4,4,-3,2,0.046875
-3,1,-3,4,2,3,0.16666666666666666
5,4,2,-3,-4,-5,-0.16666666666666666
1,0,-1,5,-2,4,inf
-4,3,4,-2,3,-1,-0.03125
1,-5,1,-2,-1,-3,0.3
-3,-4,1,2,-1,5,-0.20833333333333334
2,5,-4,2,1,-1,0.0125
-1,-5,-4,5,-1,-3,-0.03
1,4,-4,4,-1,-2,-0.03125
-2,-3,-1,1,-3,-3,-1.5
-3,3,5,3,5,-3,0.1111111111111111
0,-4,0,3,-4,1,inf
1,4,2,-5,1,2,-0.05
-1,4,-3,4,2,0,0.0
2,-2,-2,1,2,3,0.75
2,-2,-3,3,4,-4,-0.4444444444444444
-3,0,-2,1,4,2,inf
4,-5,3,-2,2,4,0.06666666666666667
4,-1,-3,5,3,5,0.25
-1,1,3,-5,2,-1,-0.13333333333333333
-1,3,2,1,5,1,-0.8333333333333334
3,4,3,3,4,0,0.0
-4,-1,-4,-5,0,0,0.0
-5,-1,4,3,1,3,0.05
-4,-2,3,-2,-5,3,0.3125
5,5,1,5,-3,-3,0.072
4,4,-4,-1,-2,0,0.0
-1,5,-1,2,4,3,1.2
1,4,0,-2,-2,-3,inf
-4,-2,0,3,1,-2,inf
1,4,-4,5,-3,2,0.075
4,4,5,-3,3,-4,0.05
3,3,2,2,-5,-2,0.2777777777777778
2,3,-4,-2,-2,-5,0.20833333333333334
4,5,4,5,-3,-5,0.0375
1,-5,0,-1,-1,0,inf
-5,0,-4,2,1,4,inf
1,-1,4,-1,4,-5,-5.0
-1,-4,2,-4,5,1,-0.15625
5,4,3,-2,3,4,-0.1
-2,-1,-3,-1,5,0,0.0
-3,-3,1,5,5,2,0.2222222222222222
2,5,4,-4,3,-5,0.09375
1,-5,1,4,4,-2,0.4
-2,-4,3,-4,-4,-2,-0.08333333333333333
4,-2,-4,4,0,1,0.0
2,3,3,1,-4,-2,0.4444444444444444
-4,-5,-1,3,1,-5,0.08333333333333333
0,-1,-4,-1,5,-3,inf
2,4,4,5,4,-3,-0.075
4,-5,3,-2,3,-4,-0.1
2,-2,-1,4,-5,-4,1.25
5,5,3,-5,0,0,-0.0
4,-5,-1,-4,0,-5,-0.0
3,-3,-3,-2,3,-1,0.05555555555555555
-5,5,4,-2,4,3,0.06
-5,1,-5,2,2,-2,-0.08
5,-3,-5,-1,1,0,-0.0
-4,3,-3,4,2,-3,-0.041666666666666664
2,-3,2,-3,-2,-4,0.2222222222222222
