rows,50
columns,7
x1,x2,x3,x4,x5,x6,F14
-3,-3,-4,4,1,-2,0.013888888888888888
-3,3,0,1,1,-1,inf
-2,-4,-3,1,-3,5,0.625
4,5,5,-1,2,4,-0.08
2,4,-2,-5,1,4,0.05
5,0,-3,3,2,1,inf
-4,-4,5,-2,1,4,-0.025
1,0,4,2,1,0,inf
-5,3,3,-4,3,-4,-0.06666666666666667
2,-5,-2,3,1,-1,-0.016666666666666666
-4,-2,-4,4,1,-4,0.03125
1,-5,-3,5,3,-1,-0.04
-5,2,-4,1,-1,-5,0.125
-4,1,0,5,0,5,inf
-1,5,2,0,-3,5,inf
-2,3,5,-2,3,3,0.15
0,1,-5,-5,-3,5,inf
-3,1,-3,-2,1,-2,0.1111111111111111
-1,0,2,3,2,0,inf
-3,-2,-5,-1,5,0,0.0
-5,0,-2,4,-1,5,inf
3,5,2,3,-2,0,0.0
4,4,3,-3,-1,-1,-0.006944444444444444
4,1,4,4,4,-3,-0.1875
-5,-5,3,3,-3,2,-0.02666666666666667
-2,5,5,0,5,-1,inf
4,-5,5,-5,-5,4,-0.04
-4,-5,3,3,3,-4,-0.06666666666666667
-3,1,4,2,0,-1,-0.0
0,-4,0,-5,-4,-1,inf
-5,-3,-2,1,1,-4,0.13333333333333333
-4,5,-4,-3,-2,-2,-0.016666666666666666
3,-2,-1,-1,-3,-3,-1.5
5,4,0,-2,-4,3,inf
-3,4,-4,-1,-2,-3,-0.125
1,-4,-1,5,-4,-1,0.2
0,3,4,-1,-2,1,inf
2,2,-1,-1,-3,-2,1.5
1,3,5,-1,5,2,-0.6666666666666666
5,-3,-1,-5,-1,4,0.05333333333333334
2,5,3,0,-3,1,inf
-3,-2,-1,-1,-2,-1,0.3333333333333333
2,-4,2,-2,-5,-1,0.15625
-5,-4,3,-4,2,-2,0.016666666666666666
-3,1,3,-2,-4,3,-0.6666666666666666
-4,-1,-1,-5,1,-5,-0.25
1,3,5,0,5,4,inf
2,1,-4,-2,1,1,0.0625
4,2,-3,-2,-2,-5,0.20833333333333334
-4,1,4,-2,0,3,0.0
