rows,50000
columns,6
x1,x2,x3,x4,x5,F19
5,-2,1,0,-1,14.745017735136008
-5,-5,-1,-3,1,12.15614770647911
1,1,-3,-1,5,48.643053702524
-3,5,5,5,1,-1051.7781301794482
4,-1,1,5,1,0.805016208140966
2,4,-5,-2,0,-5131.014212845032
4,1,3,-4,-3,-66.51508016182213
2,5,-4,5,5,-1193.3517840617433
5,-4,-4,1,5,9.935435519596705
-5,3,-1,2,5,-470.7813934923409
5,0,-3,5,2,19.71802013231158
-3,-1,-3,-3,-3,12.988769762153474
3,-2,5,-4,-5,12.712764492445942
2,3,4,-4,3,1370.1894430386203
-5,4,4,1,0,-2692.9735663957817
-3,2,-3,-2,-1,44.76792971651174
3,-3,2,-2,-3,11.992120660869638
-3,3,0,-4,-4,-7.8899143943117025
3,-2,0,-2,4,11.747082814245383
-3,-2,2,-2,4,12.02141826437833
3,-3,2,-2,1,11.992120660869638
-2,-3,0,-2,-4,13.426220037522661
-3,-1,0,-4,-4,11.635703510425952
-3,-1,0,-2,-1,12.687500190141778
-2,4,0,0,0,12.0
0,-1,-5,0,2,12.0
3,2,5,4,1,36.281441512206975
1,-1,-4,4,2,29.73067963024507
-1,3,2,0,-5,387.3764442961648
-4,1,-2,4,5,-47.631372847338085
3,-3,-1,-1,5,12.023735450399853
1,4,1,-2,0,616.5948759786986
4,0,1,0,1,5.053072305902534
-4,-2,-2,5,5,13.297911099957608
-3,1,-2,2,0,11.569802659998482
-2,-1,-1,-4,-4,11.238829933832799
-2,-2,5,3,5,2.8756931509117685
-4,-5,-4,3,1,11.81944020051424
-1,-2,1,2,0,16.027907451206243
-1,0,-5,-5,5,-66.31127284388856
-2,0,-2,0,-3,38.22047835913823
3,2,0,-4,1,19.317090592327215
3,-5,-4,5,-2,11.996430015577598
-2,-4,0,1,-3,12.373968490836033
2,-5,4,5,5,12.651965887562675
4,3,4,-3,2,-526.2411764157267
2,-4,1,2,4,12.764799436949273
-5,-1,0,2,2,-4.304181493623609
2,0,1,5,0,69.42959946158444
2,-5,-2,-2,-5,11.630309913789597
0,0,-5,-3,0,12.0
4,2,5,-5,-1,-71.13017037553468
3,2,1,5,5,39.68356881185531
-4,0,2,-5,-4,2.409662070988457
5,2,1,4,-4,-11.653131712373408
0,-5,0,-3,4,12.0
0,-5,3,0,-4,12.0
-4,-1,-2,-2,-1,1.3045787149029788
-5,3,0,0,1,12.0
-2,4,-2,1,-4,2558.373971052656
2,5,-5,4,-3,-11969.470000817964
3,-4,-5,2,-3,11.955903688735932
4,-4,1,-4,-3,11.725444389303167
-2,-1,-3,2,-2,15.930542522337586
1,5,-1,1,3,3558.712266519988
4,2,0,-1,1,-67.94366727330652
-5,-2,1,-2,5,15.252955441496018
3,3,-2,-1,-3,4.3968209926722315
-2,3,-4,2,-1,489.92654345929765
-5,-3,3,0,-5,8.970493228777402
-1,0,4,3,-5,50.70980391555805
0,4,5,-5,1,12.0
5,-5,-5,-3,-2,11.297186750920028
2,3,1,5,-5,1165.5043404695327
-1,4,3,-1,-2,2337.1414939651067
-3,1,5,3,-5,0.04414462554009546
-3,5,1,-4,-2,-261.90238992332786
2,-3,-5,-1,-5,9.752949881294564
1,-3,-1,-3,3,12.531549886497901
1,-4,5,3,-5,11.119855705105104
4,-4,2,2,0,11.467506329255768
-5,4,3,-1,4,-5034.960784618776
1,-5,-5,-1,-5,12.216753817581125
2,2,-2,5,-5,145.73365385606067
-2,1,-1,-1,1,-7.864520201224163
2,1,-3,5,1,25.56053691780815
-5,-3,-4,1,-1,17.612068110762266
0,-2,-2,2,-5,12.0
2,-1,5,0,-1,36.11493731501917
-4,5,4,-5,-2,650.6986213705004
-5,-1,-1,-4,-3,10.822379914321974
2,-4,4,0,-1,12.96048962623169
4,2,-5,-3,-3,275.9732828268328
-2,1,2,-5,-4,61.19786184638269
-2,1,4,-2,-2,-52.680324125359334
1,1,-4,1,-3,153.16281722958507
5,-2,-1,-1,0,13.530094089879515
-4,5,2,1,0,468.3194894833381
1,-4,3,-4,4,11.288390945964123
4,-2,-1,-4,3,11.85162204449484
5,5,-3,1,4,-13707.061789774625
3,-3,0,-5,5,11.856051427514034
-4,3,-1,0,2,-127.53277270250962
-3,-1,1,0,2,11.685360344357482
5,4,3,4,-3,2052.064068866037
5,4,0,-4,0,1294.1935101402025
0,3,-1,2,-4,12.0
-3,-3,3,-4,-4,11.822952290659842
2,-5,-5,4,1,11.456042103511544
-4,-3,1,4,3,11.945414800646601
4,-2,0,-4,2,10.91145761738989
-1,2,4,-3,2,278.3441935157208
-2,-3,-3,1,-4,14.974712876112612
5,2,-1,-5,5,-644.5204443167165
-3,4,5,0,-3,-221.48332636426431
2,0,3,5,1,95.65007782072266
2,-5,-3,-4,3,11.83726912259029
0,-3,-3,1,-1,12.0
0,-4,-1,-2,-2,12.0
-1,-3,-1,2,-5,12.551319163871645
4,1,-5,-5,-5,170.2551925226019
5,0,2,-5,-5,-16.001110169791094
-2,4,3,1,0,-1020.6000574299453
2,2,-2,-5,1,-509.22282492899967
-2,-4,4,-4,-4,10.76149154108655
-4,0,-1,2,-1,20.23238624470092
1,-4,0,0,-3,12.0
-1,-5,0,-4,-1,12.072899188446819
0,-5,0,-5,-3,12.0
3,2,-5,0,-4,-19.598532104534193
-4,-2,2,1,5,12.4161095129909
3,-5,0,5,3,12.019481320828895
-2,3,-1,-5,-5,1165.5043404695327
-2,-5,-1,2,0,11.89531820400141
5,-2,2,-1,-4,21.765147295287537
-5,5,-4,-4,3,8567.746556115104
2,0,-5,2,1,-24.90480067359406
2,-4,4,4,0,12.68247079354993
1,3,0,0,1,12.0
5,-4,-5,5,-2,11.398364964331087
-1,3,-1,3,1,-148.93391490511613
4,1,3,-2,1,-3.3894686951413675
-2,-4,-1,-2,-3,12.764799436949273
-5,-2,-3,5,5,10.955479559367733
-2,4,3,-4,-4,-2964.1468769202725
3,-3,-3,-4,-5,11.921556627857056
-3,-5,-2,-1,-1,12.002550582410212
2,2,4,-1,5,550.3588281352189
3,-2,-2,-1,0,11.948770182824067
4,-3,-5,5,0,12.560126682015298
1,-2,-4,-3,-1,17.238802276945787
-3,-4,3,-1,-3,11.928608271584089
-4,-1,4,1,-3,18.24236668373809
-2,2,0,-3,5,25.808810453791224
-3,-1,4,4,0,11.10573786700398
3,1,2,-1,-2,20.270581881507763
4,-3,-3,-3,2,13.086903660756521
-1,5,-3,-5,-1,-8836.74579098384
2,-1,5,-3,1,35.42743712487739
-3,-4,1,4,5,12.002472268185882
5,2,-4,1,-1,-820.9047574170567
5,-3,-3,2,2,11.177024249158093
3,-5,-3,-2,5,11.970119515842955
0,-3,1,-1,-2,12.0
-2,0,-4,-3,-5,66.30977599220098
3,3,-5,-1,-5,-47.13940838276879
-5,-1,-1,-3,2,20.5253759056778
2,-4,-4,1,-1,10.665541882932276
-2,0,4,-5,5,3.8784035637388623
4,-2,-1,5,-5,9.761924472937444
-1,-4,3,-1,4,12.779998075810706
-1,1,-5,3,0,-111.38339177440886
-2,2,-5,4,-5,608.5222660782349
-2,1,-3,5,-1,-1.560536917808152
-3,1,-3,5,5,11.115344441826634
0,-5,3,-1,-5,12.0
-3,2,0,0,-1,12.0
-1,5,-1,2,-2,1655.4592649523463
-1,3,-1,-4,1,41.62119590132278
-1,-5,3,-2,5,12.05131183325995
-4,5,4,-2,-2,1883.2520058858877
-5,-2,3,3,1,3.3736540057707565
0,-3,0,4,4,12.0
1,-3,-5,1,-5,15.050719774077663
-5,-4,4,0,1,10.514008989303374
5,3,0,-2,1,-878.1781473564756
-1,-4,-4,-3,-1,11.291005210028931
1,0,3,3,3,-17.365357567628635
-2,-3,1,-4,-4,10.591546084799518
-5,1,-3,-3,0,185.26479097928348
4,5,-2,1,-2,3679.742451069393
0,4,-5,1,-5,12.0
3,5,-2,-3,-4,-259.9634955268444
-5,-5,0,-3,1,12.019481320828895
2,-3,-2,3,3,10.78760228425355
-2,0,5,5,0,-97.87055617986088
4,2,0,-1,-3,-67.94366727330652
4,1,2,3,3,-28.45922182707423
4,-1,-3,2,-1,14.082738104717942
-4,5,-4,5,4,-626.6986213705004
-5,-3,-3,3,-2,14.885558198736632
0,0,5,1,-3,12.0
-3,-4,-1,0,-5,12.015664986046716
-2,-5,4,5,-1,11.348034112437325
-5,-5,5,4,-5,11.474903321636537
4,2,-5,-1,-2,188.7125249611991
3,-5,3,1,-3,12.008313408723035
1,3,5,-5,-4,-291.95825927307664
-5,5,-3,-2,-5,15620.408675332154
5,-5,-3,-4,-2,11.748236092936969
0,4,-4,-1,0,12.0
-4,0,5,1,-1,35.91543961708087
4,-5,3,-3,2,11.86624823112355
0,1,2,5,5,12.0
4,4,4,-3,0,-1451.091209179289
1,5,3,-3,4,-3950.827330575912
2,-3,5,1,5,14.247050118705436
-5,4,5,-4,-5,-6807.289475150601
-4,4,-5,-5,-3,-3166.6405126988934
-2,1,-3,3,2,113.83199731274054
4,-5,-3,3,4,12.13375176887645
0,-1,-4,-2,4,12.0
0,0,-2,4,-4,12.0
4,1,-1,5,-4,-32.952948635697666
-3,-4,3,-2,-2,11.987233660829363
-5,-5,4,-2,3,11.751955958012731
-4,-5,0,5,-2,12.158235249887614
0,2,4,0,4,12.0
4,-5,-4,-4,-2,12.133036788412904
1,0,4,-4,5,-36.19698424512411
-4,2,-3,0,-2,-141.99371534070337
-3,4,-5,-3,1,252.13977457200613
4,1,-4,-3,3,90.2266364560423
-5,-2,2,4,-3,9.68820448389549
4,-3,-5,0,-2,13.72933582026319
-3,0,0,-3,-3,12.121917101654562
2,4,1,3,2,829.8288807990837
2,-1,-4,0,-3,-7.291949852015335
3,-5,-1,0,2,11.994237173687177
2,-5,3,-5,-3,11.966386789598218
-4,4,-4,1,1,-2095.865844283661
5,3,5,-2,3,1158.805621964198
0,3,1,-1,-1,12.0
3,0,5,-3,4,16.154479190573774
