rows,50000
columns,3
x1,x2,F2
2,3,-0.00017392207132559673
0,-3,0.0
1,-3,0.6806706961206119
-4,4,-1.0897557595943514e+27
-4,4,-1.0897557595943514e+27
-4,-4,-9.807801836349163e+27
-5,-3,3.561992145855989e+54
3,-4,-1.7095387254768505e-12
1,2,0.2552515110452295
5,4,-1.622187569054004e-55
2,-1,-0.0005217662139767902
-5,3,8.904980364639973e+53
-5,-2,3.1167431276239906e+54
-5,4,4.4524901823199864e+53
3,-5,-1.899487472752056e-12
4,0,6.532177663583601e-28
1,2,0.2552515110452295
2,-5,-0.0008696103566279837
-1,-4,-16.58733684469332
2,5,0.0
-5,-5,4.452490182319986e+54
0,-5,0.0
-2,2,4449.753207371478
3,1,-7.597949891008225e-13
0,0,0.0
0,-1,0.0
2,-3,-0.0006956882853023869
-1,-3,-14.744299417505173
0,3,0.0
2,4,-8.696103566279837e-05
4,0,6.532177663583601e-28
3,1,-7.597949891008225e-13
5,-3,-1.2977500552432032e-54
-1,2,-5.52911228156444
2,0,-0.00043480517831399185
-3,4,94892719833.39569
1,4,0.08508383701507649
4,5,-0.0
1,4,0.08508383701507649
-4,3,-2.1795115191887028e+27
-1,3,-3.6860748543762933
4,1,5.225742130866881e-28
5,0,-8.11093784527002e-55
0,5,-0.0
-2,-5,14832.51069123826
-1,0,-9.215187135940733
1,1,0.34033534806030596
-1,-4,-16.58733684469332
-2,-5,14832.51069123826
5,3,-3.244375138108008e-55
-3,2,284678159500.1871
4,1,5.225742130866881e-28
-3,-4,854034478500.5613
-5,2,1.335747054695996e+54
-1,0,-9.215187135940733
-5,-4,4.007241164087988e+54
0,1,0.0
-5,-3,3.561992145855989e+54
-3,5,-0.0
-3,-5,948927198333.9569
5,-4,-1.4599688121486036e-54
4,3,2.6128710654334404e-28
-3,-2,664249038833.7698
-5,0,2.226245091159993e+54
2,2,-0.0002608831069883951
-3,-1,569356319000.3741
2,4,-8.696103566279837e-05
-3,2,284678159500.1871
1,-1,0.510503022090459
1,-4,0.7657545331356884
-1,2,-5.52911228156444
-2,3,2966.502138247652
-5,-3,3.561992145855989e+54
-5,-1,2.671494109391992e+54
2,-2,-0.0006087272496395886
-2,2,4449.753207371478
-1,-1,-11.05822456312888
-1,0,-9.215187135940733
-2,4,1483.251069123826
2,0,-0.00043480517831399185
2,-1,-0.0005217662139767902
1,2,0.2552515110452295
-1,0,-9.215187135940733
5,-5,-1.622187569054004e-54
5,1,-6.488750276216016e-55
3,2,-5.698462418256169e-13
1,0,0.42541918507538246
1,3,0.17016767403015298
-3,2,284678159500.1871
4,-5,1.3064355327167203e-27
4,4,1.3064355327167202e-28
5,1,-6.488750276216016e-55
-3,2,284678159500.1871
0,2,0.0
4,1,5.225742130866881e-28
-1,-2,-12.901261990317026
-3,0,474463599166.97845
-1,4,-1.8430374271881467
3,5,0.0
-2,0,7416.25534561913
3,1,-7.597949891008225e-13
-4,-2,-7.628290317160459e+27
-4,-2,-7.628290317160459e+27
-1,-4,-16.58733684469332
3,-4,-1.7095387254768505e-12
5,4,-1.622187569054004e-55
-2,-3,11866.008552990608
-1,-2,-12.901261990317026
1,-1,0.510503022090459
1,-4,0.7657545331356884
1,5,-0.0
2,4,-8.696103566279837e-05
-2,-4,13349.259622114434
-3,-1,569356319000.3741
0,5,-0.0
2,-5,-0.0008696103566279837
0,-1,0.0
2,1,-0.00034784414265119347
0,0,0.0
-5,-4,4.007241164087988e+54
-1,4,-1.8430374271881467
-1,5,0.0
-2,3,2966.502138247652
0,0,0.0
4,2,3.9193065981501604e-28
-3,1,379570879333.58276
1,2,0.2552515110452295
1,-1,0.510503022090459
0,5,-0.0
-3,-1,569356319000.3741
-4,-1,-6.538534557566108e+27
5,3,-3.244375138108008e-55
0,0,0.0
-4,3,-2.1795115191887028e+27
5,2,-4.8665627071620116e-55
4,-5,1.3064355327167203e-27
-4,-5,-1.0897557595943515e+28
-1,-3,-14.744299417505173
4,2,3.9193065981501604e-28
-4,4,-1.0897557595943514e+27
-2,4,1483.251069123826
-2,-1,8899.506414742957
4,-1,7.838613196300321e-28
-2,4,1483.251069123826
-1,3,-3.6860748543762933
-1,4,-1.8430374271881467
0,-1,0.0
3,1,-7.597949891008225e-13
4,-3,1.0451484261733762e-27
4,-2,9.145048729017041e-28
2,-4,-0.0007826493209651853
-2,4,1483.251069123826
4,1,5.225742130866881e-28
-5,5,-0.0
0,-4,0.0
-1,-5,-18.430374271881465
-3,-1,569356319000.3741
-5,0,2.226245091159993e+54
-4,1,-4.3590230383774056e+27
-1,-1,-11.05822456312888
-4,-4,-9.807801836349163e+27
-3,-2,664249038833.7698
-5,-1,2.671494109391992e+54
4,5,-0.0
-2,2,4449.753207371478
0,4,0.0
1,4,0.08508383701507649
-3,-1,569356319000.3741
-1,-4,-16.58733684469332
-2,4,1483.251069123826
3,-1,-1.1396924836512338e-12
-2,-5,14832.51069123826
3,-1,-1.1396924836512338e-12
-5,4,4.4524901823199864e+53
5,0,-8.11093784527002e-55
4,3,2.6128710654334404e-28
3,1,-7.597949891008225e-13
-2,0,7416.25534561913
3,4,-1.8994874727520562e-13
2,-3,-0.0006956882853023869
5,5,0.0
2,2,-0.0002608831069883951
2,4,-8.696103566279837e-05
-4,5,0.0
4,2,3.9193065981501604e-28
-1,4,-1.8430374271881467
